month,optimistic,realistic,pessimistic
2026-01,206.09007433805567,195.93506493506493,195.5491
2026-02,202.56197088618336,194.87012987012986,194.0982
2026-03,209.92915762799623,193.80519480519482,192.6473
2026-04,211.95486651495847,192.74025974025975,191.1964
2026-05,209.40531635137748,191.67532467532467,189.7455
2026-06,219.94821415024305,190.6103896103896,188.2946
2026-07,226.87815872738489,189.54545454545453,186.8437
2026-08,216.7358547973578,188.4805194805195,185.3928
2026-09,214.58761040401384,187.41558441558442,183.9419
2026-10,208.643235372508,186.35064935064935,182.491
2026-11,223.94337359889408,185.28571428571428,181.0401
2026-12,227.8491429512223,184.2207792207792,179.5892
2027-01,183.0,183.15584415584416,178.13830000000002
2027-02,183.0,182.0909090909091,176.6874
2027-03,183.0,181.02597402597402,175.2365
2027-04,183.0,179.96103896103895,173.7856
2027-05,183.0,178.8961038961039,172.3347
2027-06,183.0,177.83116883116884,170.8838
2027-07,183.0,176.76623376623377,169.43290000000002
2027-08,183.0,175.7012987012987,167.982
2027-09,183.0,174.63636363636363,166.5311
2027-10,183.0,173.57142857142858,165.0802
2027-11,183.0,172.5064935064935,163.6293
2027-12,183.0,171.44155844155844,162.1784
2028-01,183.0,170.37662337662337,160.72750000000002
2028-02,183.0,169.31168831168833,159.2766
2028-03,183.0,168.24675324675326,157.8257
2028-04,183.0,167.1818181818182,156.3748
2028-05,183.0,166.11688311688312,154.9239
2028-06,183.0,165.05194805194805,153.473
2028-07,183.0,163.98701298701297,152.0221
2028-08,183.0,162.92207792207793,150.5712
2028-09,183.0,161.85714285714286,149.12030000000001
2028-10,183.0,160.7922077922078,147.6694
2028-11,183.0,159.72727272727275,146.2185
2028-12,183.0,158.66233766233768,144.76760000000002
2029-01,183.0,157.5974025974026,143.3167
2029-02,183.0,156.53246753246754,141.8658
2029-03,183.0,155.46753246753246,140.4149
2029-04,183.0,154.4025974025974,138.964
2029-05,183.0,153.33766233766235,137.5131
2029-06,183.0,152.27272727272728,136.06220000000002
2029-07,183.0,151.2077922077922,134.6113
2029-08,183.0,150.14285714285714,133.1604
2029-09,183.0,149.0779220779221,131.7095
2029-10,183.0,148.01298701298703,130.2586
2029-11,183.0,146.94805194805195,128.8077
2029-12,183.0,145.88311688311688,127.3568
2030-01,183.0,144.8181818181818,125.9059
2030-02,183.0,143.75324675324674,124.45500000000001
2030-03,183.0,142.6883116883117,123.00410000000001
2030-04,183.0,141.62337662337663,121.5532
2030-05,183.0,140.55844155844156,120.10230000000001
2030-06,183.0,139.49350649350652,118.65140000000001
2030-07,183.0,138.42857142857144,117.2005
2030-08,183.0,137.36363636363637,115.74960000000002
2030-09,183.0,136.2987012987013,114.29870000000001
2030-10,183.0,135.23376623376623,112.8478
2030-11,183.0,134.16883116883116,111.3969
2030-12,183.0,133.10389610389612,109.94600000000001
2031-01,183.0,132.03896103896105,108.49510000000001
2031-02,183.0,130.97402597402598,107.0442
2031-03,183.0,129.90909090909093,105.59330000000001
2031-04,183.0,128.84415584415586,104.14240000000001
2031-05,183.0,127.77922077922078,102.6915
2031-06,183.0,126.71428571428572,101.24060000000001
2031-07,183.0,125.64935064935065,99.78970000000001
2031-08,183.0,124.5844155844156,98.3388
2031-09,183.0,123.51948051948052,96.88790000000002
2031-10,183.0,122.45454545454547,95.43700000000001
2031-11,183.0,121.3896103896104,93.98610000000001
2031-12,183.0,120.32467532467533,92.5352
2032-01,183.0,119.25974025974027,91.08430000000001
2032-02,183.0,118.1948051948052,89.63340000000001
2032-03,183.0,117.12987012987014,88.1825
2032-04,183.0,116.06493506493507,86.73160000000001
2032-05,183.0,115.0,85.28070000000001
2032-06,183.0,113.93506493506494,83.8298
2032-07,183.0,112.87012987012987,82.37890000000002
2032-08,183.0,111.80519480519482,80.92800000000001
2032-09,183.0,110.74025974025975,79.47710000000001
2032-10,183.0,109.67532467532469,78.02620000000002
2032-11,183.0,108.61038961038962,76.57530000000001
2032-12,183.0,107.54545454545455,75.12440000000001
